N,P,K,temperature,humidity,ph,label
90,42,43,20.87974,82.00274,6.502985,1
85,58,41,21.77046,80.31964,7.038096,1
60,55,44,23.00446,82.32076,7.840207,1
74,35,40,26.4911,80.15836,6.980401,1
78,42,42,20.13017,81.60487,7.628473,1
69,37,42,23.05805,83.37012,7.073454,1
69,55,38,22.70884,82.63941,5.700806,1
94,53,40,20.27774,82.89409,5.718627,1
89,54,38,24.51588,83.53522,6.685346,1
68,58,38,23.22397,83.03323,6.336254,1
91,53,40,26.52724,81.41754,5.386168,1
90,46,42,23.97898,81.45062,7.502834,1
78,58,44,26.8008,80.88685,5.108682,1
93,56,36,24.01498,82.05687,6.984354,1
94,50,37,25.66585,80.66385,6.94802,1
60,48,39,24.28209,80.30026,7.042299,1
85,38,41,21.58712,82.78837,6.249051,1
91,35,39,23.79392,80.41818,6.97086,1
77,38,36,21.86525,80.1923,5.953933,1
88,35,40,23.57944,83.5876,5.853932,1
89,45,36,21.32504,80.47476,6.442475,1
76,40,43,25.15746,83.11713,5.070176,1
67,59,41,21.94767,80.97384,6.012633,1
83,41,43,21.05254,82.6784,6.254028,1
98,47,37,23.48381,81.33265,7.375483,1
66,53,41,25.07564,80.52389,7.778915,1
97,59,43,26.35927,84.04404,6.2865,1
97,50,41,24.52923,80.54499,7.07096,1
60,49,44,20.77576,84.49774,6.244841,1
84,51,35,22.30157,80.64416,6.043305,1
73,57,41,21.44654,84.94376,5.824709,1
92,35,40,22.17932,80.33127,6.357389,1
85,37,39,24.52784,82.73686,6.364135,1
98,53,38,20.26708,81.63895,5.014507,1
88,54,44,25.73543,83.88266,6.149411,1
95,55,42,26.79534,82.14809,5.950661,1
99,57,35,26.75754,81.17734,5.96037,1
95,39,36,23.8633,83.15251,5.561399,1
60,43,44,21.01945,82.95222,7.416245,1
63,44,41,24.17299,83.72876,5.58337,1
62,42,36,22.78134,82.06719,6.43001,1
64,45,43,25.6298,83.52842,5.534878,1
83,60,36,25.59705,80.14509,6.903986,1
